date,snaive,ma5,ma7,ma9,ma12,ets,stl,tbats,nn,arimax,dynreg,stlf,avg
2012-01-06,3260.59385396859,2654.75733152969,2608.28319493345,2602.65473212368,2491.59128203368,2071.71144592371,3027.06711538891,2138.5770908444,2159.90314137303,2174.33521676135,3252.01973591379,3377.74252204705,2651.60305523678
2012-01-13,775.545608685891,2584.68793024665,2296.47255397148,2469.91909109544,2481.8394793457,2071.23505557275,1217.1457712576,1994.09249397305,1508.17681251695,2142.2130726459,1535.44407159418,1391.12319046538,1872.32459428091
2012-01-20,2734.78194145695,2542.23309095811,2565.8770795056,2652.79867733313,2549.8032176976,2075.61889814123,2810.02002800628,2260.30010010459,2107.10138382704,2189.71583300054,2813.00008822474,2901.89011138624,2516.9283708035
2012-01-27,1851.07685660839,2214.93651272349,2615.16061550014,2424.13952696659,2647.33787081292,2076.60695618597,1917.82803104004,2004.50145809646,2012.42323539704,2201.55811846771,2167.55665601019,2186.26473911581,2193.28254807706
2012-02-03,2299.30485214574,2385.19738021078,2350.07234943435,2568.79451080698,2619.06204113465,2073.66126406576,2213.14383561396,2147.21997176297,2104.20441578754,2135.31872039146,2520.13212022316,2540.95390011719,2329.75544680788
2012-02-10,2475.65558895039,2066.38453271904,2346.78801823029,2493.52784511501,2559.23148318739,2058.7104501124,1796.52253273498,1779.51130884279,2038.42135190648,1993.97839086832,2148.80065671582,2014.50370800095,2147.66965561532
2012-02-17,2862.18602707833,2325.70838579345,2200.37219625605,2335.14438139304,2422.09665830194,2057.66626936536,2082.1575531617,2100.68188090842,988.209242715922,1925.34393685829,2326.44919056947,2187.18613799384,2151.10015503298
2012-02-24,1965.77745309434,2014.4188837612,2141.73041339812,2133.99105084198,2329.55750180822,2059.06364125373,2169.31079830643,2278.83244658945,1782.62487642539,1941.05010161354,2386.25467057678,2285.89320503916,2124.04208689236
2012-03-02,3752.17072338882,2058.95792381234,2270.10404925348,2063.73181702458,2322.3158159438,2062.96680510967,2476.81045882478,2436.23313237339,1944.64108543305,2372.04552585198,2636.83866786958,2591.35081427902,2415.68056826371
2012-03-09,2889.12423690621,1819.00562444181,1771.97273830305,1890.62872656652,2234.43533500108,2054.0425627327,2732.53907838045,2409.38940947286,2075.55362300897,2352.33714690018,2795.5960758478,2735.69055416714,2313.35959264406
2012-03-16,2201.63855556205,1779.46744115348,1613.14700910706,1945.74700935442,2087.43058732537,2065.71570298376,1871.96062436378,2216.49638754977,1438.06767816855,2380.60812014466,1977.06195889439,2022.12134754691,1966.62186851285
2012-03-23,2635.23010129925,1425.77543415954,1542.65648143842,1782.23562830356,1970.02683693056,2057.41174548551,2190.58986789099,1914.76346767303,1413.95806619037,2307.20270068099,2168.31121894391,2211.50332555544,1968.30540621263
2012-03-30,1290.80016109331,1409.56572089778,1676.84861004038,1853.7415220844,1901.43841591008,2064.14131784106,1846.37355921617,1940.24550973682,1691.51872181224,2386.25276321016,1749.2277323104,1775.78782671297,1798.82848840548
2012-04-06,1296.12763400068,1572.64481285114,1799.39235658493,1809.97369520743,1887.90067818001,2062.40763543042,1457.17543772875,1836.49996602093,1151.67757803453,1882.21601110075,1429.27171179303,1492.16239341978,1639.78749252937
2012-04-13,1652.8076229391,1811.7838727437,1919.69183211233,1758.49054172373,1814.42620677818,2052.87711151873,1264.33421791014,1853.5454717347,1033.87163645094,1780.43760854276,1248.24315935978,1292.92521115879,1623.61954108107
2012-04-20,2744.5941930706,2288.71572498519,1936.29880081413,1801.98561584078,1745.28562444902,2058.58982690706,2403.51351872755,2338.91846632209,2353.62894122316,1844.41785905159,2285.33724266788,2267.3792940361,2172.38875900793
2012-04-27,2422.41112472272,2255.3887150952,1917.42107827517,1750.10676581066,1743.10856657172,2055.46582808958,2420.21609992823,2376.17768611321,2018.28719077272,1807.87283622708,2419.78633909397,2506.07028864326,2141.02604327863
2012-05-04,2819.67073306081,2201.44216028541,1967.74795288614,1702.94099236276,1686.99522264022,2052.85808588088,3055.94945338744,2331.86941479884,1161.32876792043,2443.41735194118,3047.39553062773,3164.83056786087,2303.03718613773
2012-05-11,1812.45781151375,1812.39013905817,1811.81068812747,1739.4424075297,1644.58750108745,2041.28986369905,1669.42920916826,2083.46413383147,1663.56756060584,2298.4171041933,2174.95120920272,1845.23542367412,1883.08692097427
2012-05-18,1888.21761019281,1735.03786808072,1849.5798033384,1877.70764270614,1684.58479361702,2057.5753859917,2112.20604997248,2468.66009236696,3708.67470780978,2376.39806688397,1945.46187885389,1984.49753204126,2140.71678598793
2012-05-25,2230.70028523159,1456.158592103,1608.47554055976,1822.62549246348,1736.86175005173,2030.04592078077,2112.15193229717,1854.18935975678,2130.21623460692,2201.44238105137,2045.62283741243,2104.93851813515,1944.45240370418
2012-06-01,1457.2100860805,1558.45365797376,1594.78701914397,1750.14124426666,1765.78994843324,2026.49411446065,1169.76805307232,1723.85018680525,2137.8320747858,1579.92812240783,1120.76733610636,1161.04403360111,1587.17215642812
2012-06-08,2554.70204513703,1786.29416737124,1642.3306721565,1811.67147108758,1843.06692900488,2035.87746364753,2042.3354487461,1712.30244754574,2153.64188444081,1698.11418669488,1862.59407077252,1849.71925930607,1916.05417049257
