"date","pcs"
2010-01-01,2054.35603192019
2010-01-08,2769.76263990182
2010-01-15,1912.4937481612
2010-01-22,2278.1761595444
2010-01-29,1932.23011060349
2010-02-05,2190.39556493503
2010-02-12,1420.22669475393
2010-02-19,1363.48136813137
2010-02-26,2505.52221404257
2010-03-05,1347.37372376936
2010-03-12,2505.2506230918
2010-03-19,1852.55043153953
2010-03-26,1793.02581126289
2010-04-02,2279.72842171194
2010-04-09,1739.58121758063
2010-04-16,959.298918230907
2010-04-23,1774.36862512279
2010-04-30,2662.44219254269
2010-05-07,3623.31386690515
2010-05-14,3001.88308838192
2010-05-21,2129.79007544414
2010-05-28,2041.30534480016
2010-06-04,911.288766606729
2010-06-11,1154.89428510037
2010-06-18,1714.56482226549
2010-06-25,1800.40710495922
2010-07-02,1911.68137438804
2010-07-09,2836.68479303079
2010-07-16,3068.90218543479
2010-07-23,2353.6203700152
2010-07-30,2440.86380224605
2010-08-06,1509.45011497009
2010-08-13,1477.82558611666
2010-08-20,2630.98118828644
2010-08-27,2433.8576666481
2010-09-03,1337.4035614354
2010-09-10,2788.63822582044
2010-09-17,1624.37693403931
2010-09-24,2550.54485070974
2010-10-01,1966.85737079439
2010-10-08,503.760588522097
2010-10-15,3205.48446036752
2010-10-22,756.246262520646
2010-10-29,2571.28735259912
2010-11-05,1385.79664124438
2010-11-12,2293.98245630823
2010-11-19,1393.03817598919
2010-11-26,2207.70588849437
2010-12-03,2555.73499992224
2010-12-10,1141.7388487003
2010-12-17,1207.43152990822
2010-12-24,1783.29567698544
2010-12-31,1501.09792911585
2011-01-07,3260.59385396859
2011-01-14,775.545608685891
2011-01-21,2734.78194145695
2011-01-28,1851.07685660839
2011-02-04,2299.30485214574
2011-02-11,2475.65558895039
2011-02-18,2862.18602707833
2011-02-25,1965.77745309434
2011-03-04,3752.17072338882
2011-03-11,2889.12423690621
2011-03-18,2201.63855556205
2011-03-25,2635.23010129925
2011-04-01,1290.80016109331
2011-04-08,1296.12763400068
2011-04-15,1652.8076229391
2011-04-22,2744.5941930706
2011-04-29,2422.41112472272
2011-05-06,2819.67073306081
2011-05-13,1812.45781151375
2011-05-20,1888.21761019281
2011-05-27,2230.70028523159
2011-06-03,1457.2100860805
2011-06-10,2554.70204513703
2011-06-17,981.763362583374
2011-06-24,2064.59450652989
2011-07-01,1110.48210151183
2011-07-08,2614.42962296898
2011-07-15,2357.62339928126
2011-07-22,880.399436778638
2011-07-29,1993.62068482226
2011-08-05,1089.99780226202
2011-08-12,665.01906309305
2011-08-19,496.056627423254
2011-08-26,2394.46774800624
2011-09-02,2455.82794092998
2011-09-09,3158.43619593951
2011-09-16,3080.96605285159
2011-09-23,1721.14145551635
2011-09-30,2053.60018632224
2011-10-07,879.330802007715
2011-10-14,2075.24775450152
2011-10-21,1630.89346209214
2011-10-28,2366.68893608074
